,Temperature,WI,GHGI,Age,Uses_College,Uses_Sports,Uses_ResidentHousing,Uses_Laboratory,Uses_Office,Uses_Hotel,Uses_Distribution,Uses_Food,Uses_Worship,Uses_Medical,Y_Electric
5,64.65,3.8205176894326995,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,14.501560838416673
6,73.85,4.231019551082713,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,14.88683241996051
7,74.65,4.2136072118029615,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,15.272901826386578
8,69.2,4.224161951708838,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,13.471759615062071
9,54.0,3.8475902991347772,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,12.540499494234771
10,48.55,3.660169126681845,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,12.454299380495549
11,45.25,3.491174025590017,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,11.775712345785243
0,26.2,5.623895727648228,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,16.392842884964526
1,19.1,5.861431162789236,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,9.152264567715953
2,33.3,5.977192102699726,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,7.8569601755901255
3,48.05,6.188512195117497,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,7.847023517742419
4,62.3,6.270634809956595,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,9.27207109349198
5,64.65,6.020038684354908,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,9.597080678895395
6,73.85,6.666871728465152,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,9.85205202250185
7,74.65,6.639434882317535,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,10.107551363738883
8,69.2,6.65606612124948,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,8.915561942127585
9,54.0,6.062697342406338,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,8.29925735173197
10,48.55,5.767375399111962,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,8.242210427245489
11,45.25,5.501087652597082,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,7.793123974253836
0,26.2,1.3330176881908329,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,19.810043579536057
1,19.1,1.3893201077144395,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,11.060116979721123
2,33.3,1.4167586286215135,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,9.494797490182647
3,48.05,1.4668472921929498,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,9.48278946775607
4,62.3,1.4863126065377412,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,11.204897998693296
5,64.65,1.4269144448014046,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,11.59765806452141
6,73.85,1.5802316346750234,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,11.905779935988225
7,74.65,1.5737283488756193,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,12.214539869818296
8,69.2,1.57767040910334,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,10.774072066023022
9,54.0,1.437025717927875,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,10.029294550635298
10,48.55,1.367026309477442,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,9.960355802909469
11,45.25,1.3039088027804873,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,9.417654194215123
0,26.2,2.089809475364521,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,18.199804918345308
1,19.1,2.178076368481349,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,10.161106945415266
2,33.3,2.221092512595246,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,8.723022812480144
3,48.05,2.299617925023943,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,8.711990849590139
4,62.3,2.3301342480398084,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,10.29411959077334
5,64.65,2.2370140724296106,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,10.654954565673258
6,73.85,2.4773737608062896,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,10.938031073266828
7,74.65,2.4671783760000734,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,11.221693778992188
8,69.2,2.473358455146307,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,9.898312893181675
9,54.0,2.252865800861193,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,9.214073838724028
10,48.55,2.1431257513888076,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,9.15073870496283
11,45.25,2.0441746536462873,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,8.652150028595033
0,26.2,5.896577676518402,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,1.6707021682315075
1,19.1,6.145630328285874,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,0.9327673280841385
2,33.3,6.267004088957362,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,0.8007543592763126
3,48.05,6.488570312780561,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,0.7997416492828334
4,62.3,6.574674750140044,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,0.9449775971501515
5,64.65,6.311928143231876,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,0.9781014563147838
6,73.85,6.990123734516401,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,1.0040872587524388
7,74.65,6.9613565769546515,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,1.0301268728927018
8,69.2,6.978794203284889,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,0.9086434105567345
9,54.0,6.356655162180622,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,0.8458317663110992
10,48.55,6.047014147740289,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,0.8400177399643989
11,45.25,5.767815091130709,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,0.7942483931829011
0,26.2,2.9332975804815935,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,1.4046916671598417
1,19.1,3.0571907234060496,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,0.784251387274898
2,33.3,3.1175690272363217,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,0.6732576262279023
3,48.05,3.227788836744669,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,0.6724061607087096
4,62.3,3.2706221464424443,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,0.7945175277857249
5,64.65,3.139916840991683,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,0.8223673802833651
6,73.85,3.4772904153160327,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,0.8442157030082194
7,74.65,3.4629799731744417,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,0.8661092694944613
8,69.2,3.4716544535136933,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,0.7639684986940649
9,54.0,3.162166638020046,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,0.7111577733893581
10,48.55,3.0081333515439526,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,0.7062694608479895
11,45.25,2.8692436493889257,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,0.6677875451254678
0,26.2,3.9655277449962436,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,6.811402112541425
1,19.1,4.133019000895706,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,3.8028641309224245
2,33.3,4.214644486365696,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,3.264651257485912
3,48.05,4.363650750019924,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,3.260522469530679
4,62.3,4.421557141497825,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,3.852645027896406
5,64.65,4.244856516701992,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,3.987689997957304
6,73.85,4.700952167656065,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,4.093633327047064
7,74.65,4.681605867528437,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,4.199796044817701
8,69.2,4.693332905619498,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,3.704511650191002
9,54.0,4.274936038133303,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,3.4484304799847063
10,48.55,4.066698293951338,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,3.424726870751825
11,45.25,3.8789331755893617,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,3.2381266308735612
0,26.2,1.766534257050716,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,1.2668406570884454
1,19.1,1.841147035053894,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,0.7072879878234533
2,33.3,1.8775089585111386,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,0.607186725414887
3,48.05,1.943887177549567,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,0.6064188194302211
4,62.3,1.9696828927294636,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,0.7165466489905651
5,64.65,1.8909675925180414,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,0.7416634246237989
6,73.85,2.0941457427450496,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,0.7613676374159185
7,74.65,2.08552749465291,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,0.7811126539215829
8,69.2,2.090751569695063,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,0.6889955835199897
9,54.0,1.904367197428422,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,0.6413674986452474
10,48.55,1.8116029722448825,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,0.6369589061998446
11,45.25,1.7279587424739147,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,0.6022534569260474
0,26.2,1.4512730301972234,0.25,1887.0,0,0,0,0,1,0,0,0,0,0,2.479003788671132
1,19.1,1.5125701785496632,0.25,1887.0,0,0,0,0,1,0,0,0,0,0,1.3840490449096075
2,33.3,1.542442839455599,0.25,1887.0,0,0,0,0,1,0,0,0,0,0,1.1881669445261855
3,48.05,1.5969749939827496,0.25,1887.0,0,0,0,0,1,0,0,0,0,0,1.1866642757930042
4,62.3,1.6181671251773828,0.25,1887.0,0,0,0,0,1,0,0,0,0,0,1.4021667584380344
