,Property Name,Water Intensity (gal/sf)_num
565,560 Harrison Ave,21.1
610,580 Harrison Ave,16.5
637,710 Albany Street,
645,778-780 Harrison Avenue R (10 Stoughton),46.3
649,801 Massachusetts Avenue (EPL),17.0
1636,10 Buick Street,39.2
1637,100 Ashford Street,3.7
1638,100 Bay State Road,33.0
1640,10-18 Buswell Street,65.5
1652,110-112 Cummington Street,4.0
1654,111 Cummington Street (664-666 Comm. Ave),11.6
1662,120 Ashford Street,5.6
1675,140 Bay State Road,42.7
1687,2 Cummington Street (23-25 Blandford Street),11.6
1689,20-28 Cummington Street (24 Cummington St),67.1
1692,213-217 Bay State Road,3.5
1694,22-24 Buswell Street,42.3
1696,233 Bay State Road,5.4
1698,25 Buick Street,10.7
1707,"285 Babcock, Case Center",126.5
1709,300 Babcock Street,3.4
1710,30-38 Cummington Street,37.0
1712,33 Harry Agganis Way,30.7
1725,40-48 Buswell Street,44.1
1735,Hotel Commonwealth,65.3
1737,512 Beacon Street,39.2
1738,514-522 Park Drive,31.9
1742,565-575 Commonwealth Avenue,50.0
1744,577-599 Commonwealth Avenue (595 Comm Ave),17.0
1745,580 Commonwealth Avenue,51.9
1746,582-596 Commonwealth Avenue (590 Comm / 712 Bea),15.5
1748,605-615 Commonwealth Avenue (2 Silber Way),5.1
1749,610 Beacon Street (30 Bay State Road),40.5
1750,610 Commonwealth Avenue,
1751,622-640 Commonwealth Avenue,18.5
1753,631-639 Commonwealth Avenue,15.5
1754,642-648 Beacon Street,22.9
1756,64-86 Cummington Street,6.0
1757,660 Beacon Street,12.5
1758,664 Malvern Street,9.1
1760,6-8 St. Mary's Street,26.3
1762,700 Commonwealth Avenue,75.0
1765,722-728 Commonwealth Avenue,69.7
1770,785 Commonwealth Avenue (1 University Road),13.2
1773,855 Commonwealth Avenue,0.5
1775,871 Commonwealth Avenue,7.9
1776,881 Commonwealth Avenue,14.4
1777,91 Bay State Road,45.5
1778,915 Commonwealth Avenue,48.3
1779,925 Commonwealth Avenue,45.7
1782,983-985 Commonwealth Avenue,5.8
