,Unnamed: 0,Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),User Submitted Info,User Submitted Link,Tax Parcel,G_EUI,E_EUI,G_Jan,G_Feb,G_Mar,G_Apr,G_May,G_Jun,G_Jul,G_Aug,G_Sep,G_Oct,G_Nov,G_Dec,E_Jan,E_Feb,E_Mar,E_Apr,E_May,E_Jun,E_Jul,E_Aug,E_Sep,E_Oct,E_Nov,E_Dec
200,200,925 Commonwealth Avenue,Yes,Indoor Arena,925 Commonwealth Avenue,02215,548634,154.3,Not applicable to this property type,,"Indoor Arena, Parking",2004.0,3501.1,11.5,46797287.5,0.5,0.5,0%,24.93067576701782,,,,2100401000,77.15,77.15,19.308839111841092,9.735545103132274,6.515754313782368,4.34431197306083,3.1549647470895557,2.967339273307254,1.2466055917293897,5.794099966128178,4.943788229462958,5.645428807492545,4.863103544526984,8.630219338446585,11.159711885632973,6.230562715297949,5.348761802438746,5.341997250404382,6.312123083994303,6.53337899174767,6.706955152619105,6.880890757027875,6.069423300818362,5.649863270207907,5.611027587727565,5.305304202083189
365,365,2 Cummington Street (23-25 Blandford Street),Yes,Laboratory,2 Cummington Street (23-25 Blandford Street),02215,61754,155.9,Not applicable to this property type,,Laboratory,1905.0,711.6,11.5,9627204.5,0.48,0.52,0%,22.910256825468796,,,,2100295000,81.06800000000001,74.832,20.289422801279763,10.229956842783244,6.846651597015024,4.564934323163907,3.31518706567798,3.118033184814938,1.3099134427779413,6.088348620273223,5.194854493663034,5.9321273177680585,5.110072302627525,9.068498008155382,10.824414255679669,6.043363177072923,5.188056295529439,5.181494986937921,6.122473034626852,6.337081227614537,6.505442229174242,6.674151874658586,5.887065255305762,5.4801110594452105,5.442442209265446,5.145904394689425
366,366,20-28 Cummington Street (24 Cummington St),Yes,Laboratory,20-28 Cummington Street (24 Cummington St),02215,188575,323.1,Not applicable to this property type,,Laboratory,1983.0,4650,24.7,60931823.1,0.53,0.47,0%,46.47752883468116,,,,2100288000,151.857,171.24300000000002,38.00625250818992,19.16280846048422,12.825183445600118,8.551058759469845,6.210025685013333,5.8407160081220955,2.453736686237847,11.404726358474745,9.731028505010451,11.11209180064025,9.572214063010163,16.987157719747024,24.770220899953948,13.829426455680709,11.872171319961353,11.857156644860629,14.010458759202029,14.501560838416673,14.88683241996051,15.272901826386578,13.471759615062071,12.540499494234771,12.454299380495549,11.775712345785243
367,367,30-38 Cummington Street,Yes,Laboratory,30-38 Cummington Street,02215,36563,236.1,Not applicable to this property type,,Laboratory,1917.0,640.1,17.5,8633274.5,0.48,0.52,0%,73.23523780871373,,,,Not Available,122.772,113.32799999999999,30.72695781515171,15.492577361007848,10.368790519918198,6.91328411609364,5.020626467008152,4.722050256156554,1.9837752651691591,9.220391977206592,7.867255586618616,8.98380538630557,7.73885869564053,13.733626553723449,16.392842884964526,9.152264567715953,7.8569601755901255,7.847023517742419,9.27207109349198,9.597080678895395,9.85205202250185,10.107551363738883,8.915561942127585,8.29925735173197,8.242210427245489,7.793123974253836
370,370,582-596 Commonwealth Avenue (590 Comm / 712 Bea),Yes,Laboratory,582-596 Commonwealth Avenue (590 Comm / 712 Bea),02215,280838,360.4,Not applicable to this property type,,Laboratory,1983.0,7078.8,25.2,101212940.6,0.38,0.61,0%,17.358761990898667,,,,0504135010,219.844,136.952,55.02180720289815,27.742076184744153,18.56707052960688,12.379402740189049,8.990279583398006,8.455628453674139,3.5522846365282685,16.51066899486044,14.087649766922286,16.087020748598718,13.857733449682309,24.59237770889761,19.810043579536057,11.060116979721123,9.494797490182647,9.48278946775607,11.204897998693296,11.59765806452141,11.905779935988225,12.214539869818296,10.774072066023022,10.029294550635298,9.960355802909469,9.417654194215123
371,371,6-8 St. Mary's Street,Yes,Laboratory,6-8 St. Mary's Street,02215,289059,279.6,Not applicable to this property type,,Laboratory,1997.0,5889.9,20.4,80821321.5,0.45,0.55,0%,27.213821399783434,,,,Not Available,153.78000000000003,125.82000000000001,38.48753439557905,19.405471496561002,12.987591683388889,8.65934277663376,6.288664663738587,5.914678333754887,2.48480891634667,11.549147022568908,9.854254749537443,11.25280676625021,9.693429203854306,17.202269991786338,18.199804918345308,10.161106945415266,8.723022812480144,8.711990849590139,10.29411959077334,10.654954565673258,10.938031073266828,11.221693778992188,9.898312893181675,9.214073838724028,9.15073870496283,8.652150028595033
735,735,10-18 Buswell Street,Yes,Multifamily Housing,10-18 Buswell Street,02215,66456,192.5,1,,Multifamily Housing,1924.0,711,10.7,12794801,0.06,0.94,0%,76.78614421572168,,,,2100201000,180.95,11.549999999999999,45.28754941396818,22.834049078571415,15.28225201657705,10.189283882376632,7.39975205425606,6.959689455670091,2.923827372954414,13.58966155373809,11.595314065085185,13.240963612647775,11.406073705536716,20.241583788618396,1.6707021682315075,0.9327673280841385,0.8007543592763126,0.7997416492828334,0.9449775971501515,0.9781014563147838,1.0040872587524388,1.0301268728927018,0.9086434105567345,0.8458317663110992,0.8400177399643989,0.7942483931829011
739,739,22-24 Buswell Street,Yes,Multifamily Housing,22-24 Buswell Street,02215,35036,74.7,77,,Multifamily Housing,1914.0,154.2,4.4,2618910.4,0.13,0.87,0%,38.19785363625985,,,,Not Available,64.989,9.711,16.26522547037512,8.200950624853705,5.488689009700614,3.6595267766331863,2.657653972114104,2.4996035260267675,1.0501056487479106,4.8807875916876755,4.164508791245213,4.755551170060052,4.096542271617163,7.269855146938497,1.4046916671598417,0.784251387274898,0.6732576262279023,0.6724061607087096,0.7945175277857249,0.8223673802833651,0.8442157030082194,0.8661092694944613,0.7639684986940649,0.7111577733893581,0.7062694608479895,0.6677875451254678
741,741,580 Commonwealth Avenue,Yes,Multifamily Housing,580 Commonwealth Avenue,02215,126333,96.1,2,,Multifamily Housing,2004.0,904.9,7.2,12144366.7,0.49,0.51,0%,51.63971408895538,,,, 0504140000,49.010999999999996,47.089,12.26630607531359,6.184689579385817,4.139256444235744,2.759806534176077,2.004251162924254,1.8850585239671005,0.7919298335223475,3.6808118397914202,3.1406351900739984,3.5863656679717058,3.08937871446289,5.482510434175055,6.811402112541425,3.8028641309224245,3.264651257485912,3.260522469530679,3.852645027896406,3.987689997957304,4.093633327047064,4.199796044817701,3.704511650191002,3.4484304799847063,3.424726870751825,3.2381266308735612
1012,1012,560 Harrison Ave,Yes,Office,100 Union Park St,02118,196000,15.1,100,,Office,1902.0,233,1.2,2963719.6,0.58,0.42,0%,23.00408163265306,,,,03-06529-000,6.342,8.758,1.5872541496733141,0.800295878730588,0.5356178076216173,0.3571176478697574,0.25934914356502864,0.24392567299176413,0.10247534235577173,0.47629529468807386,0.4063966941186529,0.46407400514734565,0.399764130646664,0.7094342325914222,1.2668406570884454,0.7072879878234533,0.607186725414887,0.6064188194302211,0.7165466489905651,0.7416634246237989,0.7613676374159185,0.7811126539215829,0.6889955835199897,0.6413674986452474,0.6369589061998446,0.6022534569260474
