,Property Name,Water Intensity (gal/sf)_num
52,111 Cummington Street (664-666 Comm. Ave),9.906107789536508
54,300 Babcock Street,3.0909090909090913
55,605-615 Commonwealth Avenue (2 Silber Way),5.381176470588236
56,622-640 Commonwealth Avenue,61.62671681226345
58,64-86 Cummington Street,5.526513841710229
63,785 Commonwealth Avenue (1 University Road),12.337721620683988
65,871 Commonwealth Avenue,7.092989329776592
141,915 Commonwealth Avenue,26.34637035074817
192,Hotel Commonwealth,59.339985234083215
199,"285 Babcock, Case Center",44.15996117005544
200,925 Commonwealth Avenue,24.93067576701782
365,2 Cummington Street (23-25 Blandford Street),22.910256825468803
366,20-28 Cummington Street (24 Cummington St),46.47752883468116
367,30-38 Cummington Street,73.23523780871373
370,582-596 Commonwealth Avenue (590 Comm / 712 Bea),17.358761990898667
371,6-8 St. Mary's Street,27.213821399783434
735,10-18 Buswell Street,76.78614421572168
739,22-24 Buswell Street,38.19785363625985
741,580 Commonwealth Avenue,51.63971408895539
1012,560 Harrison Ave,23.00408163265306
1013,580 Harrison Ave,18.898701298701297
1014,Biosquare - Phase I,50.090149526206616
1099,100 Bay State Road,41.59996118954058
1105,577-599 Commonwealth Avenue (595 Comm Ave),15.187882703285148
1107,983-985 Commonwealth Avenue,5.6177946561779475
1218,100 Ashford Street,3.7053960869023386
1219,664 Malvern Street,4.98639455782313
1233,710 Albany Street,
1299,10 Buick Street,44.84675469061306
1301,140 Bay State Road,37.545291612032244
1305,33 Harry Agganis Way,
1306,40-48 Buswell Street,44.39127302665432
1307,512 Beacon Street,41.94409902780918
1308,514-522 Park Drive,35.50367885739018
1311,700 Commonwealth Avenue,
1312,722-728 Commonwealth Avenue,68.45853959688576
1379,213-217 Bay State Road,5.186476605941445
