,Property Name,Property Uses
0,560 Harrison Ave,Office
1,580 Harrison Ave,Office
2,710 Albany Street,Parking
3,778-780 Harrison Avenue R (10 Stoughton),Laboratory
4,801 Massachusetts Avenue (EPL),Office
5,10 Buick Street,Residence Hall/Dormitory
6,100 Ashford Street,Other - Stadium
7,100 Bay State Road,"Food Service, Office"
8,10-18 Buswell Street,Multifamily Housing
9,110-112 Cummington Street,College/University
10,111 Cummington Street (664-666 Comm. Ave),College/University
11,120 Ashford Street,"Distribution Center, Office, Parking"
12,140 Bay State Road,Residence Hall/Dormitory
13,2 Cummington Street (23-25 Blandford Street),Laboratory
14,20-28 Cummington Street (24 Cummington St),Laboratory
15,213-217 Bay State Road,Worship Facility
16,22-24 Buswell Street,Multifamily Housing
17,233 Bay State Road,College/University
18,25 Buick Street,"Office, Parking"
19,"285 Babcock, Case Center",Indoor Arena
20,300 Babcock Street,College/University
21,30-38 Cummington Street,Laboratory
22,33 Harry Agganis Way,Residence Hall/Dormitory
23,40-48 Buswell Street,Residence Hall/Dormitory
24,Hotel Commonwealth,"Hotel, Parking"
25,512 Beacon Street,Residence Hall/Dormitory
26,514-522 Park Drive,Residence Hall/Dormitory
27,565-575 Commonwealth Avenue,Residence Hall/Dormitory
28,577-599 Commonwealth Avenue (595 Comm Ave),"College/University, Office, Parking"
29,580 Commonwealth Avenue,Multifamily Housing
30,582-596 Commonwealth Avenue (590 Comm / 712 Bea),Laboratory
31,605-615 Commonwealth Avenue (2 Silber Way),College/University
32,610 Beacon Street (30 Bay State Road),Residence Hall/Dormitory
33,610 Commonwealth Avenue,College/University
34,622-640 Commonwealth Avenue,College/University
35,631-639 Commonwealth Avenue,College/University
36,642-648 Beacon Street,Office
37,503749000,1.1482745313596245
38,64-86 Cummington Street,College/University
39,660 Beacon Street,Office
40,,
41,503752000,0.0
42,664 Malvern Street,Other - Stadium
43,6-8 St. Mary's Street,Laboratory
44,700 Commonwealth Avenue,"Parking, Residence Hall/Dormitory"
45,722-728 Commonwealth Avenue,Residence Hall/Dormitory
46,785 Commonwealth Avenue (1 University Road),College/University
47,855 Commonwealth Avenue,College/University
48,871 Commonwealth Avenue,College/University
49,881 Commonwealth Avenue,"Medical Office, Office"
50,91 Bay State Road,Residence Hall/Dormitory
51,915 Commonwealth Avenue,"Fitness Center/Health Club/Gym, Swimming Pool"
52,925 Commonwealth Avenue,"Indoor Arena, Parking"
53,983-985 Commonwealth Avenue,Office
