,Property Name,Property Uses
0,111 Cummington Street (664-666 Comm. Ave),College/University
1,300 Babcock Street,College/University
2,605-615 Commonwealth Avenue (2 Silber Way),College/University
3,622-640 Commonwealth Avenue,College/University
4,64-86 Cummington Street,College/University
5,785 Commonwealth Avenue (1 University Road),College/University
6,871 Commonwealth Avenue,College/University
7,915 Commonwealth Avenue,Fitness Center/Gym
8,Hotel Commonwealth,Hotel
9,"285 Babcock, Case Center",Indoor Arena
10,925 Commonwealth Avenue,"Indoor Arena, Parking"
11,2 Cummington Street (23-25 Blandford Street),Laboratory
12,20-28 Cummington Street (24 Cummington St),Laboratory
13,30-38 Cummington Street,Laboratory
14,582-596 Commonwealth Avenue (590 Comm / 712 Bea),Laboratory
15,6-8 St. Mary's Street,Laboratory
16,10-18 Buswell Street,Multifamily Housing
17,22-24 Buswell Street,Multifamily Housing
18,580 Commonwealth Avenue,Multifamily Housing
19,560 Harrison Ave,Office
20,580 Harrison Ave,Office
21,Biosquare - Phase I,"Medical Office, Office"
22,100 Bay State Road,"Food Service, Office"
23,577-599 Commonwealth Avenue (595 Comm Ave),"College/University, Office, Parking"
24,983-985 Commonwealth Avenue,Office
25,100 Ashford Street,Other - Stadium
26,664 Malvern Street,Other - Stadium
27,710 Albany Street,Parking
28,10 Buick Street,Residence Hall/Dormitory
29,140 Bay State Road,Residence Hall/Dormitory
30,33 Harry Agganis Way,Residence Hall/Dormitory
31,40-48 Buswell Street,Residence Hall/Dormitory
32,512 Beacon Street,Residence Hall/Dormitory
33,514-522 Park Drive,Residence Hall/Dormitory
34,700 Commonwealth Avenue,"Parking, Residence Hall/Dormitory"
35,722-728 Commonwealth Avenue,Residence Hall/Dormitory
36,213-217 Bay State Road,Worship Facility
