,Property Name,Year Built
0,560 Harrison Ave,1902.0
1,580 Harrison Ave,1887.0
2,710 Albany Street,2000.0
3,778-780 Harrison Avenue R (10 Stoughton),1959.0
4,801 Massachusetts Avenue (EPL),2007.0
5,10 Buick Street,2000.0
6,100 Ashford Street,2002.0
7,100 Bay State Road,2012.0
8,10-18 Buswell Street,1924.0
9,110-112 Cummington Street,1923.0
10,111 Cummington Street (664-666 Comm. Ave),1911.0
11,120 Ashford Street,1958.0
12,140 Bay State Road,1958.0
13,2 Cummington Street (23-25 Blandford Street),1905.0
14,20-28 Cummington Street (24 Cummington St),1983.0
15,213-217 Bay State Road,2003.0
16,22-24 Buswell Street,1914.0
17,233 Bay State Road,1968.0
18,25 Buick Street,1928.0
19,"285 Babcock, Case Center",1972.0
20,300 Babcock Street,1986.0
21,30-38 Cummington Street,1917.0
22,33 Harry Agganis Way,2008.0
23,40-48 Buswell Street,1896.0
24,Hotel Commonwealth,2003.0
25,512 Beacon Street,1926.0
26,514-522 Park Drive,1915.0
27,565-575 Commonwealth Avenue,1992.0
28,577-599 Commonwealth Avenue (595 Comm Ave),1996.0
29,580 Commonwealth Avenue,2004.0
30,582-596 Commonwealth Avenue (590 Comm / 712 Bea),1983.0
31,605-615 Commonwealth Avenue (2 Silber Way),1981.0
32,610 Beacon Street (30 Bay State Road),1926.0
33,610 Commonwealth Avenue,2016.0
34,622-640 Commonwealth Avenue,1902.0
35,631-639 Commonwealth Avenue,1957.0
36,642-648 Beacon Street,1990.0
37,503749000,1.0958664997522691
38,64-86 Cummington Street,1909.0
39,660 Beacon Street,1990.0
40,,
41,503752000,0.0
42,664 Malvern Street,1962.0
43,6-8 St. Mary's Street,1997.0
44,700 Commonwealth Avenue,1966.0
45,722-728 Commonwealth Avenue,1974.0
46,785 Commonwealth Avenue (1 University Road),1931.0
47,855 Commonwealth Avenue,1919.0
48,871 Commonwealth Avenue,1926.0
49,881 Commonwealth Avenue,1915.0
50,91 Bay State Road,1923.0
51,915 Commonwealth Avenue,2004.0
52,925 Commonwealth Avenue,2004.0
53,983-985 Commonwealth Avenue,1981.0
