,Unnamed: 0,Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Renewable (kWh),User Submitted Info,User Submitted Link,Tax Parcel,G_EUI,E_EUI,G_Jan,G_Feb,G_Mar,G_Apr,G_May,G_Jun,G_Jul,G_Aug,G_Sep,G_Oct,G_Nov,G_Dec,E_Jan,E_Feb,E_Mar,E_Apr,E_May,E_Jun,E_Jul,E_Aug,E_Sep,E_Oct,E_Nov,E_Dec
1710,1710,30-38 Cummington Street,Yes,Laboratory,30-38 Cummington Street,2215,"36,563",213.1,Not Available,,Laboratory,1917,539.1,14.7,"7,792,254.80",0.49700000000000005,0.503,,37.0,,,,2100287000,107.1893,105.9107,15.669502712911685,14.030143452837644,10.988872997234973,10.35390348800551,7.196192603310936,5.150027342217578,4.290331396113628,4.094517749400311,6.444569623377858,5.391291895064262,7.9446706832615686,15.635276056264043,8.390822710457432,7.622887747976092,7.4183995214299605,7.896534869433824,7.7310896928071084,8.895209788845897,10.093536617044226,9.726454710415032,12.28999500862032,9.099731694485063,7.531493915842573,9.214543722642475
1712,1712,33 Harry Agganis Way,Yes,Residence Hall/Dormitory,33 Harry Agganis,2215,"399,578",82.9,59,,Residence Hall/Dormitory,2008,"2,282.50",5.7,"33,120,300.40",0.489,0.511,,30.7,,,,2100401000,42.361900000000006,40.5381,6.192688141205265,5.544802829524617,4.342873206761945,4.091929177338976,2.8439815489251035,2.0353238921075785,1.6955665310719068,1.6181797198817518,2.546935318437293,2.130673193401979,3.1397848947353726,6.179161546608214,3.2116491546066106,2.9177163951917002,2.8394470213083274,3.022456845159132,2.9591314860158966,3.4047070214927655,3.863375435488581,3.722872133753016,4.704086052296429,3.482989286296899,2.8827347332216458,3.526934435168995
1725,1725,40-48 Buswell Street,Yes,Residence Hall/Dormitory,40-48 Buswell Street,2215,"58,302",109.0,74,,Residence Hall/Dormitory,1896,358.2,6.1,"6,352,137.80",0.10099999999999999,0.899,,44.1,,,,"2100235000, 2100236000, 2100237000, 2100238000",97.991,11.008999999999999,14.324846233168131,12.826166297261139,10.045878216128402,9.465397728067522,6.578661390558964,4.7080849421653355,3.9221626023919414,3.7431524301538106,5.891537886378768,4.928645714537198,7.262909869954225,14.293556689234558,0.8721929627452735,0.792369148891177,0.7711134033806066,0.8208136890568842,0.8036163147643576,0.9246220123689529,1.0491833650144873,1.01102664704283,1.277496561253028,0.945881258688556,0.7828691201126124,0.9578155166812322
1735,1735,Hotel Commonwealth,Yes,Hotel,500 Commonwealth Avenue,2215,"205,000",145.6,8,,"Hotel, Parking",2003,"2,102.00",10.3,"29,843,131.70",0.536,0.46399999999999997,,65.3,,,,503934020,67.55839999999999,78.0416,9.876046695705378,8.84280467774476,6.9259774762630135,6.525774059575642,4.535557731709429,3.2459173368654524,2.7040751697343195,2.5806593374626563,4.061830914503693,3.397979596503656,5.00730240693855,9.854474596993438,6.1828807631375735,5.617018454910136,5.466338793829409,5.818658697057113,5.696748386802988,6.554544576300562,7.437546416487839,7.167057605400831,9.056033757351651,6.705249054234611,5.549673787281358,6.789849707205929
1737,1737,512 Beacon Street,Yes,Residence Hall/Dormitory,512 Beacon Street,2215,"70,768",80.0,81,2013,Residence Hall/Dormitory,1926,325.3,4.6,"5,664,515.70",0.133,0.867,,39.2,,,,503696000,69.36,10.64,10.139414178164746,9.078618387178748,7.110674583080752,6.6997988225323075,4.656508802330517,3.3324771824819384,2.7761855486922786,2.6494785496164783,4.170148970816007,3.4885945317457727,5.140833633497209,10.117266809863242,0.842958772241776,0.765810495431204,0.7452672006512541,0.7933016306263285,0.7766806784533351,0.8936305033704842,1.014016804773744,0.9771390248465541,1.2346773922910548,0.9141771816192422,0.7566288889089107,0.9257114267861125
1738,1738,514-522 Park Drive,Yes,Residence Hall/Dormitory,514-522 Park Drive,2215,"36,968",80.1,87,,Residence Hall/Dormitory,1915,171.1,4.6,"2,962,850.60",0.14300000000000002,0.857,,31.9,,,,2100257000,68.64569999999999,11.4543,10.034994000144804,8.98512275404781,7.037445706859664,6.630801326872923,4.6085540122857545,3.298157856480686,2.747595160321014,2.622193046041059,4.127202929728148,3.452667440136401,5.087891051830439,10.013074715251285,0.9074720549707682,0.8244194697197029,0.8023039564304191,0.8540145552333791,0.8361215690984996,0.962021792740276,1.091621493131569,1.0519213846146507,1.3291696667781416,0.9841409484418502,0.8145351769012533,0.9965579319394895
1742,1742,565-575 Commonwealth Avenue,Yes,Residence Hall/Dormitory,565-575 Commonwealth Avenue,2215,"87,619",99.2,45,,Residence Hall/Dormitory,1992,573.9,6.5,"8,693,268.20",0.39899999999999997,0.601,,50.0,,,,50398300,59.6192,39.580799999999996,8.71545215932583,7.8036327184095615,6.112063582808649,5.758890512692014,4.002556654958241,2.8644697756318798,2.38630278928193,2.2773903048629576,3.584500367948006,2.9986622708629986,4.418863733595686,8.69641512962224,3.1358066327394063,2.8488150430040786,2.772393986422665,2.9510820659299415,2.889252123846406,3.324305472538201,3.7721425137583267,3.6349571724291807,4.592999899322723,3.4007391156235807,2.8146594667411473,3.4436465076443383
1744,1744,577-599 Commonwealth Avenue (595 Comm Ave),Yes,Office,577-599 Commonwealth Avenue (595 Comm Ave),2215,"424,121",91.3,68,,"College/University, Office, Parking",1996,"2,819.50",6.6,"38,722,403.40",0.609,0.391,,17.0,,,,503991000,35.6983,55.601699999999994,5.218567606060821,4.672595772361925,3.6597317541694294,3.448261653783234,2.396618341670062,1.7151639302680939,1.4288509886516951,1.3636372564557948,2.1462979960334643,1.795514621865919,2.645891310534507,5.207168768145055,4.4050696209168745,4.001914043591839,3.8945604615085365,4.145575119886835,4.058718616462293,4.669866086396113,5.298971632893634,5.106258544907015,6.452082891254655,4.777237349552501,3.9539335049291893,4.837512127700506
1745,1745,580 Commonwealth Avenue,Yes,Multifamily Housing,580 Commonwealth Avenue,2215,"126,333",90.8,4,,Multifamily Housing,2004,784,6.2,"11,467,261.40",0.47,0.527,,51.9,,,,504140000,47.8516,42.675999999999995,6.995201722720129,6.263356626527141,4.905668337366593,4.622204344525475,3.2125345531372402,2.2990825424632746,1.9152958535438787,1.8278804464363878,2.876993951728651,2.4067882078328435,3.5466712038156722,6.97992220990271,3.381025240995303,3.0715910435171105,2.9891938961459505,3.1818552996813145,3.115190285119786,3.5842646016765767,4.06712228952296,3.9192091188300315,4.952170337726789,3.666675319810411,3.0347645172064537,3.7129380497673057
1746,1746,582-596 Commonwealth Avenue (590 Comm / 712 Bea),Yes,Laboratory,582-596 Commonwealth Avenue (590 Comm / 712 Bea),2215,"280,838",321.5,Not Available,,Laboratory,1983,"5,996.70",21.4,"90,278,874.70",0.41200000000000003,0.588,,15.5,,,,504135010,189.042,132.458,27.635166307217702,24.74394719073017,19.38027890044336,18.260429195633684,12.691403359431455,9.082729981700558,7.566546546941836,7.221204209581867,11.365820382655704,9.50823078821056,14.011439904030844,27.574803233422248,10.49404445992492,9.533620921412258,9.277876209009756,9.875859717058479,9.668944483700363,11.124859888669887,12.623556196120354,12.16446249559444,15.37057312294065,11.380646722079096,9.419318549539144,11.524237233950647
1748,1748,605-615 Commonwealth Avenue (2 Silber Way),Yes,College/University,605-615 Commonwealth Avenue (2 Silber Way),2215,"85,000",95.4,Not Available,,College/University,1981,515.3,6.1,"8,105,982.90",0.32299999999999995,0.677,,5.1,,,,504081000,64.5858,30.814199999999996,9.441496197060449,8.45371729282943,6.621231350748801,6.238637064479629,4.335991150599169,3.1030955134420704,2.5850946454834167,2.467109165366493,3.883108526518577,3.248466965231058,4.786978847842042,9.420873280398867,2.441268815753057,2.2178418955184402,2.1583470464575067,2.2974581866960344,2.249322721992176,2.5880177685111625,2.9366650963965313,2.829864411600252,3.5757139193172,2.6475224163394406,2.1912513072008415,2.680926414217352
1749,1749,610 Beacon Street (30 Bay State Road),Yes,Residence Hall/Dormitory,610 Beacon Street (30 Bay State Road),2215,"185,149",75.8,80,,Residence Hall/Dormitory,1926,828.8,4.5,"14,039,747.60",0.183,0.8170000000000001,,40.5,,,,503706000,61.9286,13.8714,9.053052550084967,8.10591301401727,6.348819521132853,5.981965994248475,4.157599063091201,2.97542742853303,2.4787382406393403,2.3656069392701706,3.723349013178723,3.1148179832565064,4.590032147569136,9.033278104978328,1.0989678865859558,0.9983894460831205,0.9716070908941546,1.0342297217171101,1.0125609363813526,1.1650287748546366,1.3219767580581305,1.273899085456437,1.6096526296453133,1.1918155410820634,0.9864193580461526,1.2068527711955714
1750,1750,610 Commonwealth Avenue,Yes,College/University,610 Commonwealth Avenue,2215,"170,000",11.2,Not Available,,College/University,2016,163.2,1,"1,910,328.10",1.0,0.0,,,,,,2100350000,0.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8873250234123956,0.8061163109802146,0.7844917901592148,0.835054348027714,0.8175586088982474,0.9406636877584044,1.0673861102881514,1.02856739457532,1.299660412937952,0.962291770125518,0.7964514620093797,0.9744330808274868
1751,1751,622-640 Commonwealth Avenue,Yes,College/University,622-640 Commonwealth Avenue,2215,"84,022",106.9,Not Available,,College/University,1902,589.1,7,"8,979,111.10",0.386,0.614,,18.5,,,,2100348000,65.6366,41.263400000000004,9.595107737118342,8.591257837830112,6.728957660608969,6.340138630262746,4.406536990413023,3.1535823505722895,2.627153696443132,2.5072486125974183,3.9462860429334192,3.3013189711993167,4.864862180916997,9.574149289104234,3.2691113724174157,2.969919623794732,2.8902498691121203,3.07653407003632,3.0120757055724954,3.4656233940580488,3.932498216362867,3.7894810561892203,4.7882506681449915,3.545306270303331,2.9343120765605213,3.5900376774479397
1753,1753,631-639 Commonwealth Avenue,Yes,College/University,631-639 Commonwealth Avenue,2215,"113,621",91.8,Not Available,,College/University,1957,745.7,6.6,"10,428,259.50",0.5670000000000001,0.43,,15.5,,,,504089000,39.474,52.0506,5.770519539631994,5.16680193505614,4.046810387723898,3.812973741647063,2.6501013330910443,1.8965715729713384,1.5799761872704583,1.5078649980905543,2.3733053701555806,1.9854207114494324,2.9257391414167935,5.757915081495698,4.123732130681183,3.7463247907416757,3.645827533291181,3.880810700665298,3.799501440028493,4.371616905896214,4.960543524300398,4.780138395364478,6.040009311577516,4.47213071518708,3.701408613255841,4.528555939010642
1754,1754,642-648 Beacon Street,Yes,Office,642-648 Beacon Street,2215,"58,275",61.3,81,,Office,1990,234.6,4,"3,573,606.80",0.532,0.46799999999999997,,22.9,,Electric usage was provided directly by Eversource through the portal request (and they confirmed it accounted for the whole building)Gas usage provided directly by National Grid and confirmed it is for the whole building. ,,503749000,28.688399999999998,32.6116,4.193823092688314,3.755061068897618,2.9410881878496804,2.7711434333958453,1.9260061580850463,1.3783656055639395,1.1482745313596245,1.095866499752269,1.7248399904030844,1.442938226132287,2.1263306172321412,4.184662588640148,2.5836686369210433,2.3472091684966405,2.284243969996094,2.431469497869697,2.380526279459472,2.7389774928305344,3.107961506631525,2.9949311111546884,3.784286207372083,2.8019530616629775,2.3190675445058115,2.837305523099435
1756,1756,64-86 Cummington Street,Yes,College/University,64-86 Cummington Street,2215,"49,163",35.4,Not Available,,College/University,1909,148.6,3,"1,741,296.10",0.9890000000000001,0.0,,6.0,,,,2100281000,0.0,35.010600000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.773730487918038,2.5198764033217773,2.4522793096918045,2.610335156880276,2.5556444136333023,2.940464295235214,3.3365917993619965,3.2152465736177414,4.062668826179061,3.008072522067542,2.4896646031987135,3.046025608894537
1757,1757,660 Beacon Street,Yes,Office,660 Beacon Street,2215,"63,423",113.5,6,,Office,1990,551.1,8.7,"7,196,582.20",0.9620000000000001,0.0,,12.5,,Eversource provided the whole building electric usage directly through the online request process. Supreme Energy provided the consumption report for all 2016 oil deliveries.There is no gas usage at the building. ,,503752000,0.0,109.18700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.650389047440113,7.858698361338992,7.647884383224482,8.140810633759111,7.970247484801156,9.17037911386401,10.405775645002892,10.027338224240667,12.670180491737161,9.381227812919192,7.7644773020016205,9.49959149967061
1758,1758,664 Malvern Street,Yes,Other - Stadium,664 Malvern Street,2215,"73,500",0.3,Not Available,,Other - Stadium,1962,1.7,0,"19,983.00",1.0,0.0,,9.1,,,,2100415000,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02376763455568917,0.021592401186970037,0.021013172950693253,0.02236752717931377,0.021898891309774484,0.025196348779242973,0.02859069938271834,0.02755091235469607,0.03481233248940943,0.025775672414076377,0.02133352130382267,0.026100886093593397
