,Temperature,WI,GHGI,Age,Uses_College,Uses_Sports,Uses_ResidentHousing,Uses_Laboratory,Uses_Office,Uses_Hotel,Uses_Distribution,Uses_Food,Uses_Worship,Uses_Medical,Y_Gas
1,19.1,1.833637703956903,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,10.229956842783244
2,33.3,1.86985132110435,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,6.846651597015024
3,48.05,1.9359588089002986,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,4.564934323163907
4,62.3,1.9616493132727573,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,3.31518706567798
5,64.65,1.8832550625160678,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,3.118033184814938
6,73.85,2.0856045271613817,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,1.3099134427779413
7,74.65,2.07702142959072,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,6.088348620273223
8,69.2,2.0822241976386895,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,5.194854493663034
9,54.0,1.8966000155882599,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,5.9321273177680585
10,48.55,1.8042141400246021,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,5.110072302627525
11,45.25,1.7209110629175686,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,9.068498008155382
0,26.2,3.569112133256573,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,38.00625250818992
1,19.1,3.719860056884004,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,19.16280846048422
2,33.3,3.793325817132814,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,12.825183445600118
3,48.05,3.9274366083662366,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,8.551058759469845
4,62.3,3.979554363607683,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,6.210025685013333
5,64.65,3.8205176894326995,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,5.8407160081220955
6,73.85,4.231019551082713,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,2.453736686237847
7,74.65,4.2136072118029615,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,11.404726358474745
8,69.2,4.224161951708838,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,9.731028505010451
9,54.0,3.8475902991347772,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,11.11209180064025
10,48.55,3.660169126681845,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,9.572214063010163
11,45.25,3.491174025590017,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,16.987157719747024
0,26.2,5.623895727648228,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,30.72695781515171
1,19.1,5.861431162789236,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,15.492577361007848
2,33.3,5.977192102699726,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,10.368790519918198
3,48.05,6.188512195117497,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,6.91328411609364
4,62.3,6.270634809956595,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,5.020626467008152
5,64.65,6.020038684354908,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,4.722050256156554
6,73.85,6.666871728465152,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,1.9837752651691591
7,74.65,6.639434882317535,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,9.220391977206592
8,69.2,6.65606612124948,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,7.867255586618616
9,54.0,6.062697342406338,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,8.98380538630557
10,48.55,5.767375399111962,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,7.73885869564053
11,45.25,5.501087652597082,1.4583333333333333,1917.0,0,0,0,1,0,0,0,0,0,0,13.733626553723449
0,26.2,1.3330176881908329,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,55.02180720289815
1,19.1,1.3893201077144395,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,27.742076184744153
2,33.3,1.4167586286215135,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,18.56707052960688
3,48.05,1.4668472921929498,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,12.379402740189049
4,62.3,1.4863126065377412,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,8.990279583398006
5,64.65,1.4269144448014046,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,8.455628453674139
6,73.85,1.5802316346750234,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,3.5522846365282685
7,74.65,1.5737283488756193,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,16.51066899486044
8,69.2,1.57767040910334,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,14.087649766922286
9,54.0,1.437025717927875,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,16.087020748598718
10,48.55,1.367026309477442,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,13.857733449682309
11,45.25,1.3039088027804873,2.1,1983.0,0,0,0,1,0,0,0,0,0,0,24.59237770889761
0,26.2,2.089809475364521,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,38.48753439557905
1,19.1,2.178076368481349,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,19.405471496561002
2,33.3,2.221092512595246,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,12.987591683388889
3,48.05,2.299617925023943,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,8.65934277663376
4,62.3,2.3301342480398084,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,6.288664663738587
5,64.65,2.2370140724296106,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,5.914678333754887
6,73.85,2.4773737608062896,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,2.48480891634667
7,74.65,2.4671783760000734,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,11.549147022568908
8,69.2,2.473358455146307,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,9.854254749537443
9,54.0,2.252865800861193,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,11.25280676625021
10,48.55,2.1431257513888076,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,9.693429203854306
11,45.25,2.0441746536462873,1.7,1997.0,0,0,0,1,0,0,0,0,0,0,17.202269991786338
0,26.2,5.896577676518402,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,45.28754941396818
1,19.1,6.145630328285874,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,22.834049078571415
2,33.3,6.267004088957362,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,15.28225201657705
3,48.05,6.488570312780561,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,10.189283882376632
4,62.3,6.574674750140044,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,7.39975205425606
5,64.65,6.311928143231876,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,6.959689455670091
6,73.85,6.990123734516401,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,2.923827372954414
7,74.65,6.9613565769546515,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,13.58966155373809
8,69.2,6.978794203284889,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,11.595314065085185
9,54.0,6.356655162180622,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,13.240963612647775
10,48.55,6.047014147740289,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,11.406073705536716
11,45.25,5.767815091130709,0.8916666666666666,1924.0,0,0,1,0,0,0,0,0,0,0,20.241583788618396
0,26.2,2.9332975804815935,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,16.26522547037512
1,19.1,3.0571907234060496,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,8.200950624853705
2,33.3,3.1175690272363217,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,5.488689009700614
3,48.05,3.227788836744669,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,3.6595267766331863
4,62.3,3.2706221464424443,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,2.657653972114104
5,64.65,3.139916840991683,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,2.4996035260267675
6,73.85,3.4772904153160327,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,1.0501056487479106
7,74.65,3.4629799731744417,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,4.8807875916876755
8,69.2,3.4716544535136933,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,4.164508791245213
9,54.0,3.162166638020046,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,4.755551170060052
10,48.55,3.0081333515439526,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,4.096542271617163
11,45.25,2.8692436493889257,0.3666666666666667,1914.0,0,0,1,0,0,0,0,0,0,0,7.269855146938497
0,26.2,3.9655277449962436,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,12.26630607531359
1,19.1,4.133019000895706,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,6.184689579385817
2,33.3,4.214644486365696,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,4.139256444235744
3,48.05,4.363650750019924,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,2.759806534176077
4,62.3,4.421557141497825,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,2.004251162924254
5,64.65,4.244856516701992,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,1.8850585239671005
6,73.85,4.700952167656065,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,0.7919298335223475
7,74.65,4.681605867528437,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,3.6808118397914202
8,69.2,4.693332905619498,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,3.1406351900739984
9,54.0,4.274936038133303,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,3.5863656679717058
10,48.55,4.066698293951338,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,3.08937871446289
11,45.25,3.8789331755893617,0.6,2004.0,0,0,1,0,0,0,0,0,0,0,5.482510434175055
0,26.2,1.766534257050716,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,1.5872541496733141
1,19.1,1.841147035053894,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,0.800295878730588
2,33.3,1.8775089585111386,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,0.5356178076216173
3,48.05,1.943887177549567,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,0.3571176478697574
4,62.3,1.9696828927294636,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,0.25934914356502864
5,64.65,1.8909675925180414,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,0.24392567299176413
6,73.85,2.0941457427450496,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,0.10247534235577173
7,74.65,2.08552749465291,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,0.47629529468807386
8,69.2,2.090751569695063,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,0.4063966941186529
9,54.0,1.904367197428422,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,0.46407400514734565
10,48.55,1.8116029722448825,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,0.399764130646664
11,45.25,1.7279587424739147,0.09999999999999999,1902.0,0,0,0,0,1,0,0,0,0,0,0.7094342325914222
0,26.2,1.4512730301972234,0.25,1887.0,0,0,0,0,1,0,0,0,0,0,6.17232132438399
1,19.1,1.5125701785496632,0.25,1887.0,0,0,0,0,1,0,0,0,0,0,3.1120934975171495
2,33.3,1.542442839455599,0.25,1887.0,0,0,0,0,1,0,0,0,0,0,2.082845533201565
3,48.05,1.5969749939827496,0.25,1887.0,0,0,0,0,1,0,0,0,0,0,1.3887157729050703
4,62.3,1.6181671251773828,0.25,1887.0,0,0,0,0,1,0,0,0,0,0,1.0085254775466312
5,64.65,1.553499603557147,0.25,1887.0,0,0,0,0,1,0,0,0,0,0,0.94854855681534
6,73.85,1.7204179458270028,0.25,1887.0,0,0,0,0,1,0,0,0,0,0,0.3984936759977991
7,74.65,1.7133377372356606,0.25,1887.0,0,0,0,0,1,0,0,0,0,0,1.852159343676644
8,69.2,1.7176295075119192,0.25,1887.0,0,0,0,0,1,0,0,0,0,0,1.5803461479587224
9,54.0,1.5645078730793014,0.25,1887.0,0,0,0,0,1,0,0,0,0,0,1.8046346759608698
10,48.55,1.4882986415635904,0.25,1887.0,0,0,0,0,1,0,0,0,0,0,1.5545542399886512
11,45.25,1.4195818225640593,0.25,1887.0,0,0,0,0,1,0,0,0,0,0,2.7587617540475646
0,26.2,3.1945529365967715,1.0083333333333333,2012.0,0,0,0,0,0,0,0,1,0,0,21.29153027767395
1,19.1,3.3294806732802567,1.0083333333333333,2012.0,0,0,0,0,0,0,0,1,0,0,10.735220907500567
2,33.3,3.3952365955880306,1.0083333333333333,2012.0,0,0,0,0,0,0,0,1,0,0,7.1848120671690685
3,48.05,3.5152731777878556,1.0083333333333333,2012.0,0,0,0,0,0,0,0,1,0,0,4.790399328220752
4,62.3,3.5619214538406117,1.0083333333333333,2012.0,0,0,0,0,0,0,0,1,0,0,3.478926260070028
5,64.65,3.4195748265720773,1.0083333333333333,2012.0,0,0,0,0,0,0,0,1,0,0,3.2720348238340207
6,73.85,3.786996717129479,1.0083333333333333,2012.0,0,0,0,0,0,0,0,1,0,0,1.3746108995411879
7,74.65,3.771411709569519,1.0083333333333333,2012.0,0,0,0,0,0,0,0,1,0,0,6.3890560248665755
